date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2022-11-07,UNC Wilmington,North Carolina,-1,200,17,58,0.293,4,16,0.25,18,24,0.75,16,20,36,3,6,1,10,24,56,63.4,88.33
2022-11-07,North Carolina,UNC Wilmington,1,200,22,48,0.458,2,10,0.2,23,30,0.767,6,23,29,4,5,6,8,18,69,64.25,107.39
2022-11-07,North Florida,Gonzaga,-1,200,21,59,0.356,8,30,0.267,13,22,0.591,9,17,26,13,7,1,22,19,63,82.45,76.41
2022-11-07,Gonzaga,North Florida,1,200,43,67,0.642,5,12,0.417,13,16,0.813,7,30,37,22,15,2,13,26,104,80.6,129.03
2022-11-07,Northern Colorado,Houston,-1,200,10,39,0.256,5,21,0.238,11,16,0.688,6,20,26,5,3,3,21,12,36,61.6,58.44
2022-11-07,Houston,Northern Colorado,1,200,32,72,0.444,11,29,0.379,8,10,0.8,17,23,40,16,14,6,8,13,83,67.75,122.51
2022-11-07,Howard,Kentucky,-1,200,23,67,0.343,7,25,0.28,10,13,0.769,11,22,33,10,4,1,16,19,63,78.17,80.59
2022-11-07,Kentucky,Howard,1,200,34,62,0.548,11,24,0.458,16,28,0.571,8,32,40,20,10,5,10,12,95,77.3,122.9
2022-11-07,Mississippi Valley St.,Baylor,-1,200,16,49,0.327,3,13,0.231,18,29,0.621,6,19,25,13,7,1,24,26,53,80.78,65.61
2022-11-07,Baylor,Mississippi Valley St.,1,200,37,72,0.514,14,34,0.412,29,43,0.674,21,26,47,27,12,7,9,22,117,80.42,145.48
2022-11-07,Nebraska Omaha,Kansas,-1,200,22,57,0.386,5,21,0.238,15,19,0.789,7,19,26,10,4,1,13,9,64,72.03,88.86
2022-11-07,Kansas,Nebraska Omaha,1,200,36,69,0.522,9,22,0.409,8,15,0.533,15,26,41,24,8,5,9,13,89,70.12,126.92
2022-11-07,Jacksonville,Duke,-1,200,18,53,0.34,3,23,0.13,5,5,1.0,6,17,23,12,5,3,11,18,44,60.38,72.88
2022-11-07,Duke,Jacksonville,1,200,27,59,0.458,10,29,0.345,7,11,0.636,15,27,42,19,6,3,12,12,71,61.23,115.97
2022-11-07,Sacramento St.,UCLA,-1,200,19,55,0.345,2,18,0.111,10,17,0.588,12,22,34,7,2,1,19,12,50,70.08,71.35
2022-11-07,UCLA,Sacramento St.,1,200,34,64,0.531,6,10,0.6,2,5,0.4,8,23,31,12,12,6,9,14,76,67.38,112.8
2022-11-07,St. Thomas,Creighton,-1,200,24,58,0.414,9,22,0.409,3,4,0.75,5,24,29,10,4,2,12,15,60,66.9,89.69
2022-11-07,Creighton,St. Thomas,1,200,26,66,0.394,8,34,0.235,12,14,0.857,12,25,37,11,5,6,4,10,72,64.65,111.37
2022-11-07,North Dakota St.,Arkansas,-1,200,19,56,0.339,5,21,0.238,15,23,0.652,7,25,32,7,5,2,14,16,58,73.92,78.46
2022-11-07,Arkansas,North Dakota St.,1,200,28,57,0.491,4,10,0.4,16,23,0.696,4,31,35,10,11,4,11,19,76,74.92,101.43
2022-11-07,Tennessee Tech,Tennessee,-1,200,13,40,0.325,5,17,0.294,12,19,0.632,2,21,23,5,8,0,21,10,43,68.03,63.21
2022-11-07,Tennessee,Tennessee Tech,1,200,26,65,0.4,14,44,0.318,9,9,1.0,15,20,35,21,17,4,15,11,75,69.28,108.26
2022-11-07,UTEP,Texas,-1,200,21,52,0.404,5,15,0.333,10,15,0.667,10,19,29,8,5,3,16,25,57,65.12,87.52
2022-11-07,Texas,UTEP,1,200,23,42,0.548,4,14,0.286,22,29,0.759,5,20,25,14,6,3,15,15,72,65.78,109.46
2022-11-07,Morehead St.,Indiana,-1,200,20,54,0.37,9,30,0.3,4,5,0.8,6,19,25,8,4,1,20,18,53,70.38,75.31
2022-11-07,Indiana,Morehead St.,1,200,36,59,0.61,4,11,0.364,12,21,0.571,5,25,30,16,9,4,10,12,88,73.97,118.96
2022-11-07,Arkansas Pine Bluff,TCU,-1,200,26,63,0.413,13,29,0.448,7,10,0.7,6,28,34,22,7,6,13,22,72,74.75,96.32
2022-11-07,TCU,Arkansas Pine Bluff,1,200,21,54,0.389,4,21,0.19,27,38,0.711,10,25,35,13,8,3,12,11,73,74.05,98.58
2022-11-07,George Mason,Auburn,-1,200,21,56,0.375,7,20,0.35,3,8,0.375,7,24,31,9,3,4,19,23,52,71.8,72.42
