date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2025-11-03,Lehigh,Houston,-1,200,19,51,0.373,4,15,0.267,15,23,0.652,9,21,30,5,8,3,14,16,57,66.92,85.17
2025-11-03,Houston,Lehigh,1,200,26,61,0.426,7,21,0.333,16,20,0.8,12,25,37,14,11,6,13,22,75,71.5,104.9
2025-11-03,Arizona,Florida,0,200,30,61,0.492,2,5,0.4,31,38,0.816,12,26,38,15,8,5,13,22,93,80.05,116.18
2025-11-03,Florida,Arizona,0,200,30,70,0.429,7,27,0.259,20,30,0.667,15,21,36,15,9,2,14,23,87,83.25,104.5
2025-11-03,New Haven,Connecticut,-1,200,23,52,0.442,3,14,0.214,6,14,0.429,4,20,24,3,7,1,10,15,55,64.65,85.07
2025-11-03,Connecticut,New Haven,1,200,27,56,0.482,8,23,0.348,17,20,0.85,10,30,40,11,9,5,11,16,79,66.5,118.8
2025-11-03,Quinnipiac,St. John's,-1,200,27,67,0.403,7,18,0.389,13,19,0.684,8,18,26,10,11,6,22,26,74,90.03,82.2
2025-11-03,St. John's,Quinnipiac,1,200,39,69,0.565,8,19,0.421,22,34,0.647,13,27,40,25,12,3,14,18,108,86.15,125.36
2025-11-03,Oakland,Michigan,-1,200,27,64,0.422,11,26,0.423,13,15,0.867,4,15,19,11,6,0,9,11,78,76.12,102.46
2025-11-03,Michigan,Oakland,1,200,45,70,0.643,19,35,0.543,12,13,0.923,4,34,38,31,3,7,8,15,121,80.17,150.92
2025-11-03,Villanova,BYU,0,200,24,67,0.358,10,35,0.286,8,15,0.533,9,31,40,12,2,1,11,20,66,76.12,86.7
2025-11-03,BYU,Villanova,0,200,26,66,0.394,5,17,0.294,14,21,0.667,10,25,35,10,4,5,3,13,71,68.97,102.94
2025-11-03,South Carolina St.,Louisville,-1,200,13,57,0.228,2,19,0.105,17,22,0.773,10,19,29,5,6,5,25,25,45,82.45,54.58
2025-11-03,Louisville,South Carolina St.,1,200,33,62,0.532,12,32,0.375,26,33,0.788,11,34,45,23,12,4,16,21,104,82.67,125.79
2025-11-03,Eastern Washington,UCLA,-1,200,29,54,0.537,7,25,0.28,9,14,0.643,6,23,29,22,5,2,16,13,74,70.65,104.74
2025-11-03,UCLA,Eastern Washington,1,200,33,70,0.471,8,26,0.308,6,10,0.6,10,21,31,19,7,3,8,12,80,72.75,109.97
2025-11-03,Southern,Arkansas,-1,200,27,69,0.391,12,27,0.444,11,24,0.458,11,21,32,10,3,3,12,20,77,81.4,94.59
